carlossanlop,viktorhofer,buyaa-n,steveharter,adamsitnik,jozkee,eiriktsarpalis,krwq,layomia,tarekgh,michaelgsharp,tannergooding
area-DependencyModel,1,1,,,,,,,,-1,,
area-Infrastructure,3,3,,,,,,,,,,
area-Infrastructure-libraries,0,0,,,,,,,,,,
area-Microsoft.Win32,0,0,,,,,,,,,,
area-System.Diagnostics.EventLog,0,0,,,,,,,,,,
area-System.Diagnostics.PerformanceCounter,0,0,,,,,,,,,,
area-System.Diagnostics.TraceSource,0,0,,,,,,,,,,
area-System.Drawing,0,0,,,,,,,,,,
area-System.Formats.Tar,1,1,,,,,,,,,,
area-System.IO.Compression,1,1,,,-1,2,,,,,,
area-System.Management,0,0,,,,,,,,,,
area-System.ServiceProcess,0,0,,,,,,,,,,
area-Extensions-DependencyInjection,,,1,1,,,,,,-1,,
area-Extensions-Hosting,,,1,1,,,,,,-1,,
area-System.CodeDom,,,0,0,,,,,,,,
area-System.ComponentModel,,,1,1,,,,,,-1,,
area-System.ComponentModel.Composition,,,1,1,,,,,,-1,,
area-System.Composition,,,1,1,,,,,,-1,,
area-System.Configuration,,,0,0,,,,,,,,
area-System.DirectoryServices,,,3,3,,,,,,,,
area-System.Reflection,,,0,0,,,,,,,,
area-System.Reflection.Emit,,,0,0,,,,,,,,
area-System.Reflection.Metadata,,,0,0,,,,,,,,
area-System.Resources,,,0,0,,,,,,,,
area-System.Text.RegularExpressions,,,0,0,,,,,,,,
area-Extensions-Caching,,,,,1,1,,,,-1,,
area-Extensions-FileSystem,,,,,0,0,,,,,,
area-System.Console,,,,,0,0,,,,,,
area-System.Diagnostics.Process,,,,,0,0,,,,,,
area-System.Formats.Asn1,,,,,1,1,,,,,,
area-System.Formats.Cbor,,,,,1,1,2,,,,,
area-System.IO,,,,,0,0,,,,,,
area-System.IO.Hashing,,,,,1,1,,,,,,
area-System.Linq.Parallel,,,,,0,0,,,,,,
area-System.Security,,,,,1,1,,2,,,,
area-Extensions-Configuration,,,,,,,1,1,1,0,,
area-Extensions-Logging,,,,,,,1,1,1,0,,
area-Extensions-Options,,,,,,,1,1,1,0,,
area-Extensions-Primitives,,,,,,,1,1,1,0,,
area-System.ComponentModel.DataAnnotations,,,,,,,1,1,1,1,,
area-System.DateTime,,,,,,,1,1,1,1,,
area-System.Diagnostics.Activity,,,,,,,1,1,1,0,,
area-System.Globalization,,,,,,,1,1,1,0,,
area-System.Collections,,,,,,,0,0,0,1,,
area-System.IO.Ports,,,,,,,1,1,1,1,,
area-System.Linq,,,,,,,0,0,0,1,,
area-System.Text.Encoding,,,,,,,1,1,1,1,,
area-System.Text.Encodings.Web,,,,,,,1,1,1,1,,
area-System.Text.Json,,,,,,,0,0,0,1,,
area-System.Xml,,,,,,,0,0,0,1,,
area-System.Buffers,,,,,,,,,,,0,0
area-System.Memory,,,,,2,-1,,,,,1,1
area-System.Numerics,,,,,,,,,,,0,0
area-System.Numerics.Tensors,,,,,,,,,,,0,0
area-System.Runtime,,,,,,,,,,,0,0
area-System.Runtime.CompilerServices,,,-1,-1,,,,,,,1,1
area-System.Runtime.Intrinsics,,,,,,,,,,,0,0
area-System.Threading.Channels,,,-1,-1,,,,,,,1,1
area-System.Threading.Tasks,,,-1,-1,,,,,,,1,1
machinelearning,,,,,,,,,,-1,0,0
area-System.Speech,,,,,,,,,,,,
area-Meta,,,,,,,,,,,,
dotnet-api-docs (no area),,,,,,,,,,,,
runtime (no area),,,,,,,,,,,,
